reporting_period,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,average_delay_mins,arrival_departure_A,arrival_departure_D,scheduled_charter_C,scheduled_charter_S
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,22.0,0,1,0,1
202201,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,222.0,1,0,0,1
202201,2,0,0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,30.0,1,0,0,1
202201,15,0,0,0.0,33.333333,40.0,20.0,0.0,0.0,6.666667,0.0,0.0,16.0,0,1,0,1
202201,10,0,0,0.0,80.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,21.0,0,1,0,1
202201,4,0,0,25.0,50.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,17.0,1,0,0,1
202201,9,0,0,0.0,22.222222,66.666667,0.0,0.0,0.0,0.0,11.111111,0.0,36.0,0,1,0,1
202201,17,0,1,0.0,27.777778,38.888889,0.0,5.555556,5.555556,11.111111,5.555556,0.0,35.0,1,0,0,1
202201,3,0,0,0.0,0.0,33.333333,0.0,66.666667,0.0,0.0,0.0,0.0,29.0,0,1,0,1
202201,9,0,0,0.0,55.555556,0.0,0.0,33.333333,0.0,0.0,11.111111,0.0,35.0,1,0,0,1
202201,2,0,0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,28.0,1,0,0,1
202201,4,0,0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,16.0,1,0,0,1
202201,5,0,0,0.0,20.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,18.0,1,0,0,1
